Judul,Label
Beredar Risalah Rapat Pengangkatan Nama – nama Menteri Kabinet Kerja Jilid II dengan Lambang Garuda dan Bertuliskan Koalisi Indonesia Maju ,HOAX
Seorang Suporter Meninggal Pada Laga Tira-Persikabo VS Persija ,HOAX
Ma’ruf Amin Sebut Masyarakat yang Tak Mengakui Jokowi sebagai Pemimpin 5 Tahun Kedepan akan Masuk Neraka sampai 7 Turunan ,HOAX
"Kisah Nyata Arif, Anak Berusia 8 Tahun, Narapidana Cerdas Yang Membunuh Preman dan Kabur dari Lapas Sebanyak Tiga Kali ",HOAX
JAMUR VS TERUNG ,HOAX
“PERCETAKAN ALQURAN DIHENTIKAN” ,HOAX
Foto 200 relawan yang dibebaskan Prabowo dari penjara ,HOAX
“Khoirul Anwar Penemu 4G LTE” ,HOAX
MASJID INI TERBAKAR BARU TADI ,HOAX
Pendeta di Brazil: “wanita gemuk tidak bisa masuk sorga” ,HOAX
"“’RUSIA’ saja sampai meminta ilmu strategi perang kepada saya, kenapa orang ‘INDONESIA’ malah meragukan saya” ",HOAX
“baju PKI lagi beraksi” ,HOAX
Asosiasi Guru Bahasa dan Sastra Indonesia Kecam Anies Baswedan ,HOAX
"Ahok beli tanaman plastik 8 M dipake sebentar, Ganjar nyanyi bareng slank 18 M cuma sehari ",HOAX
"“Mendagri tidak memberi ijin cuti kepada walikota Sumbar untuk menunaikan ibadah haji, rezim setan..” ",HOAX
Racun Dari Nasi di Magic Com ,HOAX
"Artikel Liputan6.com : “Rhoma Irama: “Saya Yang Salah, Dulu Saya Bilang Jangan Sentuh Miras Walau Setetes.. Dia Malah Nyabu” ",HOAX
"“Said Aqil: Negara China Bukan Negara Komunis, Yang Komunis Itu Justru Arab?” ",HOAX
"“Megawati : Jokowi Itu Idaman Seluruh Alam, Bahkan “ALIEN” Saja Mau Di Pimpin Oleh Beliau.” ",HOAX
"“SAID AQIL: Jangan Bilang Siapa-Siapa ya. Fieling Saya,Pak Jokowi Itu “IMAM MAHDI” Yang Muncul di Akhir Zaman Nanti” ",HOAX
Bandara Soekarno Hatta Akan Dijual Kepada Hongkong ,HOAX
“Hancur kota ya sengsara warga ya” ,HOAX
Bahaya Daging Kurban Dibungkus Kresek Hitam ,BENAR
Video Penyerangan terhadap Anggota TNI di Papua ,HOAX
“Penderita Gila akibat Pilpres meningkat tajam di sumbar” ,HOAX
“hacker sudah mulai masuk facebook dan bbm” ,HOAX
UNESCO Nyatakan ISLAM Agama Paling Damai Sedunia ,HOAX
Foto ormas FPI membantu bencana erupsi Gunung Tangkuban Perahu ,HOAX
“Politisi PDIP : Negara Akan Hancur Bila Jokowi Tidak Segera Mundur” ,HOAX
Lowongan Pekerjaan PT Timah Persero Tbk 2019 ,HOAX
“DKI Jakarta berhasil swasembada Eceng Gondok” ,HOAX
“Moeldoko: Pendukung Prabowo yg tidak mau mengakui kemengan Jokowi harus di tangkap” ,HOAX
Seorang Perempuan Rela Digilir Demi Lunasi Hutang Pada Fintech ,HOAX
“Ini beneran ikan duyung” ,HOAX
Demo di Hongkong karena menolak campur tangan fihak Negara China Komunis ,HOAX
"Jembatan di Jalan Cemara, Medan Dikatakan Roboh ",HOAX
Di Rusia islam menggema oleh para tentara kalamullah di lantunkan ,HOAX
"Di Kazan, Rusia, pemain Sepak Bola dan supporternya Sholat Isya secara berjamaah ",HOAX
Surat Undangan Bimbingan Teknis untuk Pelaku Usaha dari BPOM ,HOAX
Bandung Electronic Center (BEC) runtuh ,HOAX
Air Surut 15 Meter di Pelabuhan Banten ,HOAX
Video Monas Berayun Saat Gempa Guncang Jakarta ,HOAX
Fenomena aneh dari langit saat gempa gencang banten ,HOAX
Video Jagal Sapi Meninggal Ditendang Sapi Qurban ,HOAX
BUNGA MAHAMERU/ARYA YANG MEKAR 400 TAHUN SEKALI ,HOAX
Habib Bahar Smith di gebukin napi didalam sel ,HOAX
"Dijebol Siber Rp 9 Triliun, Bank Mandiri Segera Bangkrut? ",HOAX
Daftar Menu Pesta Kuliner Gratis di Surabaya dan Semarang ,HOAX
“zionis Israel menebar VIRUS AIDS di pembalut wanita” ,HOAX
“Metallica Indonesia Raya” ,HOAX
Draf Revisi UU Ketenagakerjaan Hapus Cuti Haid ,HOAX
"“Gus Yaqut: Kami NKRI dan kami tidak takut ke Papua. Tapi maaf, anggaran tidak ada dari pemerintah” ",HOAX
Aturan Baru Instagram ,HOAX
Beberapa Jalan di Kota Malang Sudah Terapkan Tilang Elektronik ,HOAX
“royalty 8 ribu rupiah setiap WA” ,HOAX
“seperti ketika menghadapi pendemo 21-22 di Jakarta” ,HOAX
"Innalillah! Leonardo Dicaprio Tewas di Riau, Ini Faktanya ",HOAX
Diam-Diam David Beckham Ke Wamena-Papua ,HOAX
"Pemadaman listrik wilayah bekasi hari Sabtu dan Minggu, Tgl 24 & 25 Agustus 2019 ",HOAX
Biaya Tilang Baru di Indonesia ,HOAX
Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur ,HOAX
Batu2 an karya seni Gabion ternyata dari terumbu karang yg dilindungi UU ,HOAX
Dandenpom Tangerang mengamankan mobil plat dinas yg dipake anggota banser yang mengaku anggota TNI yang akan apel ke pacar nya ,HOAX
Pelintiran Premis “Garis Lurus Beijing – Kalimantan Timur” ,HOAX
Seorang Anak SD di Lumajang Lolos Dari Percobaan Penculikan ,HOAX
Malam ini jam 24:00 BBM naik Tanggal 30 Agustus 2019 ,HOAX
“Papua kini kibarkan bendera Yahudi Israel” ,HOAX
PELAKU PENCULIKAN ANAK TERTANGKAP DI WARUNG KETAN SUSU KEMAYORAN,HOAX
“Begitu kejamnya Rezim ini”,HOAX
“SI BOSS MINTA SEMUA PESANTREN DI TUTUP”,HOAX
"“detik2 jatuhnya lion air jt610""",HOAX
“Terimakasih boyolali atas demo hari ini”,HOAX
Kepolisian Klarifikasi Terkait Biaya Tilang Baru,BENAR
PT Pertamina Rekrut Pegawai Baru dan Adakan Program Beasiswa,HOAX
“PEMBOHONGAN PEMURTADAN Strategi Gereja untuk publik”,HOAX
"Gubernur Jatim, Khofifah Indar Parawansa Masuk Timses Prabowo – Sandi",HOAX
Klarifikasi Pertamina Perihal Lowongan Kerja RDMP RU V di Balikpapan,BENAR
Foto Grace Natalie Hasil Suntingan,HOAX
Tol Ngawi-Sragen Per Tanggal 15 November 2018 Gratis Sampai Peresmian,HOAX
“*REVOLUSI MENTAL PSI..*”,HOAX
Timor Leste Mau Kembali Bergabung Dengan Indonesia Sekarang (2018),HOAX
Klarifikasi GIGI Mengenai “Band Gigi for Prabowo Sandi”,BENAR
"Siswi SMP 3 Puyung yang Terjatuh Saat Melakukan Aksi Jumping Motor, Meninggal Dunia",HOAX
Petugas Operator Tipu Pengguna Jalan Tol,HOAX
Klarifikasi PT KAI Atas Tuduhan Membatalkan Tiket Rombongan Reuni 212,BENAR
Klarifikasi BPN Prabowo – Sandi tentang Situs ‘KTP Prabowo’,BENAR
“Hak Rakyat Mau kemana mau naik apa itu terserah kami”,HOAX
Puan Maharani Buka Posko Logistik di Reuni 212,HOAX
Penjelasan Polresta Surabaya dan Ketua Front Mahasiswa Nasional (FMN) Surabaya Terkait Informasi 2 Mahasiswa Non-Papua yang Hilang Pasca Penggerebekan,BENAR
Perhutani Mengklarifikasi Penemuan Lahan Pembibitan Ganja di Bogor,BENAR
Karni Ilyas Dipanggil Istana Presiden Jokowi Usai Tv One Siarkan Langsung Reuni Akbar 212,HOAX
Gambar Logo PDIP pada Ujian SD di Bogor,BENAR
“inilah penyesatan akidah yg sesungguhnya”,HOAX
"Puan: Jika Negara Ingin Maju Dan Berkembang, Pendidikan Agama Islam Harus Di Hapus!!",HOAX
Air Selokan di Malang Berwarna Hijau Toska,HOAX
Foto Prabowo Berpakaian Pendeta,HOAX
“PAWAI KEMENANGAN PERSIJA SEPI DARI PEMBERITAAN MEDIA”,HOAX
“Tabrakan dengan Setan”,HOAX
Klarifikasi Taman Safari Indonesia Terkait Harbonas Sale Tiket Terusan Panda,BENAR
“Orang penyakitan kok Nyapres”,HOAX
“Kondisi terkini Bahar Bin Smidh dipindahkan ke Rutan Pondok Bambu”,HOAX
Baznas Pasang Spanduk Menolak Tempat Perayaan Natal Selain Gereja,HOAX
“salam dua jari Kapal sudah oleng kapten”,HOAX
“Penyamaran Kalian Terbongkar Sudah”,HOAX
“pakai menyamar jadi lelaki gelar habib”,HOAX
“Penyiksaaan anak2 uyghur oleh china komunis”,HOAX
Said Aqil Siroj Dikabarkan Sakit,HOAX
“Keren Sultan Jogja Tolak Tol”,HOAX
“Malam Tahun Baru akan terjadi GEMPA”,HOAX
PEMERINTAH LUNCURKAN ALAT DETEKSI GUNUNG AGUNG,HOAX
Jumlah Bencana dari Soeharto hingga Jokowi,HOAX
“Sedekah atau Money Politik?”,HOAX
Kinerja Jokowi Bikin UAS Jatuhkan Pilihannya,HOAX
"Syekh Ali Jaber Merapat Ke Jokowi, Alumni 212 Panas Dingin",HOAX
Video Air Pasang Hingga ke Daratan di Ujunggenteng,HOAX
"Foto Jari Membentuk Simbol “L” dari Kader PSI Bersama Relawan Jokowi, Disebut Mulai Stres",HOAX
“BMKG: Alat Pendeteksi Tsunami di Selat Sunda Hilang Sejak 2007”,BENAR
Petik Buah Rambutan Gratis di Kandang Harimau Kebun Binatang Surabaya,HOAX
Foto Terdapat Simbol Salib di Dada Sandiaga Uno Saat di Gereja,HOAX
“Ternyata Prabowo datang ke pengungsian daerah labuan Banten”,HOAX
“#Lumpur_Panas dipinggir pintu tol GLC”,HOAX
 Bahaya Daging Kurban Dibungkus Kresek Hitam,BENAR
 SPP SMA/SMK GRATIS JAWA TIMUR,BENAR
 Klarifikasi BIN terkait Pesan Berantai yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga sedang Dimonitori oleh Aparat,BENAR
" Dianggap Lecehkan Guru, Iklan Hago Diprotes",BENAR
 Klarifikasi “#SOSDrJohnSimpsonForIndonesia”,BENAR
 Klarifikasi Divisi Humas Polri terkait informasi “anak China ancam tembak Jokowi dibebaskan”,BENAR
 Klarifikasi Milly Ratudian Purbasari terkait akun facebook Kinara Kania Putri yang memakai fotonya,BENAR
" Klarifikasi dari Dinkes terkait Informasi Ramuan Minyak Tanah yang Bisa Mengobati Penyakit Asam Urat, Kolesterol, dan Tekanan Darah Tinggi",BENAR
 Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.,BENAR
 Klarifikasi dari Rektor UIN Suska Riau terkait Surat Pemecatan Ustaz Abdul Somad sebagai Dosen,BENAR
" Klarifikasi Putra Aji Adhari, Anak Kelas ll MTS yang “Bobol” Situs KPU Pemilu 2019",BENAR
 Unggahan Hasil C1 Pleno TPS di Bangil Pasuruan Berbeda dengan Hasil Situng KPU,BENAR
 Klarifikasi Surat Edaran Intruksi Memasang Spanduk Ucapan Selamat Terpilihnya Prabowo-Sandi sebagai Presiden dan Wakil Presiden,BENAR
 Klarifikasi terkait Kabar Petugas KPPS di Way Kanan Lampung Tewas Ditikam karena Melerai Keributan Timses Caleg,BENAR
" DITUDING TAWARKAN PEKERJAAN KE PERETAS SITUS KPU, POLRI BERI BANTAHAN",BENAR
 Cokelat “Mermaid” Memakan Korban,BENAR
 Foto Prabowo dan Titiek Soeharto,BENAR
 Klarifikasi KPU Terkait Pernyataan Ustaz Haikal Hassan Mengenai 13 Juta Pemilih yang Gila,BENAR
 Klarifikasi Terkait Perbedaan Hasil Situng KPU Ketika Dipindahkan Dalam Bentuk Microsoft Excel,BENAR
 Klarifikasi Atas Isu Pelaku Bom Srilanka Adalah WNI,BENAR
 “Video Petugas KPPS Coblosi Kertas Suara di Halmahera Tengah Beredar”,BENAR
 Klarifikasi Kementerian BUMN Atas Isu BRI Akuisisi Jiwasraya,BENAR
 Imigrasi Kota Semarang Tangkap 40 WNA Pelaku Kejahatan,BENAR
" Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional (BPN)",BENAR
 Klarifikasi Humas Pemprov NTB Terkait Kabar Gurbenur Zulkifliemansyah yang Disebut Mengucapkan Selamat kepada Prabowo – Sandi,BENAR
 Video Petugas KPPS Coblos Surat Suara di Boyolali,BENAR
 15 Kotak Suara DPRD Jambi Dibakar OTK,BENAR
" KPU Klarifikasi Terkait Kesalahan Input Data Form C1 Di TPS 093 Bidara Cina, Jakarta Timur",BENAR
 REDAKSI LIPUTAN 6 SCTV: “Tidak Pernah Revisi Quick Count”,BENAR
: Metro TV Klarifikasi Tayangan Quick Count Unggulkan Prabowo,BENAR
 Klarifikasi SMS Dengan Nomor Handphone Ustadz Abdul Somad Dukung Paslon 01,BENAR
 5 Panita Pengawas Desa di Aceh Tamiang Dipecat karena Pose Dua Jari,BENAR
 Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu,BENAR
 Bawaslu Bantah Pelaku Surat Suara Tercoblos Di Malaysia Telah Ditangkap,BENAR
 Klarifikasi tvOne terkait foto Ustadz Abdul Somad dan Direksi serta karyawan tvOne di akun twitter @saididu,BENAR
 Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno,BENAR
 Klarifikasi Polisi Terkait Isu Larangan Kendaraan Plat L dan W Masuk ke Malang,BENAR
 Fakta Sesungguhnya terkait Video Deklarasi Keluarga Ibu Kandung Prabowo di Minahasa Mendukung Jokowi dalam Pilpres 2019,BENAR
 Klarifikasi Twitter Tentang Tuduhan Tak Netral di Pemilu 2019,BENAR
 Surat suara yang sah harus ada tanda tangan KPPS,BENAR
 Klarifikasi Gus Mus ( A. Mustofa Bisri ) Terkait Video ‘Rekayasa’ Dirinya Menanggapi Pernyataan Ma’ruf Amin,BENAR
 “Dugaan Pelanggaran Pemilu di Acara Singkawang Bersholawat”,BENAR
 Penjelasan terkait Novel Baswedan yang Disebut jadi Partisipan Partai Gerindra dan Ketidaknetralan KPK di Pilpres 2019,BENAR
 Klarifikasi Atas Isu OTT Bupati Kapuas Oleh KPK,BENAR
 Baliho “Cinesia Timur Sakti” Bertuliskan Bahasa Cina di Bandara Haluoleo Kendari,BENAR
 Kode QR ke Tautan hebatdiki(dot)com,BENAR
 PT KAI Memberikan Klarifikasi Terkait KA Argo Parahyangan Berasap,BENAR
 Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,BENAR
 Penjelasan Haikal Hassan terkait Cuitannya yang Mendukung Jokowi dan Sebut Prabowo Tidak Jumatan Malah Minum Bir,BENAR
 LIPI Tidak Mengeluarkan Hasil Survei Capres-Cawapres,BENAR
" Papan Elektronik Masjid Unsri Diretas: ‘Sholat no 1, Presiden No 2’",BENAR
 Penjelasan terkait Video Mobil Berplat TNI yang Membawa Logistik Kampanye Prabowo-Sandi,BENAR
 Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Ma’ruf Amin,BENAR
 Video soal Tak Ada Lagi Tahlil dan NU Jadi Fosil Jika Jokowi-Ma’ruf Kalah,BENAR
 Klarifikasi Bukalapak Terkait Kabar Peretasan Situsnya,BENAR
 “Indochina” di Foto Kontainer “Southern Hauliers”,BENAR
" Klarifikasi Keluarga Zulfirman Syah, Korban Penembakan Brutal di Masjid Christchurch",BENAR
 Mobil B 2 64RIS yang Ditumpangi Prabowo Subianto di Cianjur Milik Mantan pemimpin ISIS Regional Indonesia,BENAR
 Penjelasan Iwan Fals terkait Foto Salam 2 Jari dan Poster Dukungan Dirinya Kepada Jokowi,BENAR
 BMKG Kupang Bantah Terkait Informasi Prakiraan Badai di NTT Yang Beredar di Media Sosial,BENAR
 KEPOLISIAN ANGKAT BICARA TERKAIT FOTO KOMPAK PENONTON YANG ACUNGKAN SALAM DUA JARI DI MILLENIAL ROAD SAFETY FESTIVAL,BENAR
 KEPOLISIAN MEDAN ANGKAT BICARA TERKAIT FOTO KORBAN BEGAL YANG ALAMI PUTUS TANGAN,BENAR
" Penjelasan terkait Unggahan yang Berisi Berita Berjudul “Tanahnya Dipatok Rp3.500 per Meter, Warga Demo Bawa Foto Jokowi “Hoax Ganti Untung”",BENAR
" Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi",BENAR
 DINAS PERHUBUNGAN BERI PENJELASAN TERKAIT “FLYER” TIKET KAPAL DIGRATISKAN SAAT JEMBATAN SURAMADU DITUTUP,BENAR
 Klarifikasi BPPTKG Terkait Video Erupsinya Gunung Merapi dan Kepanikan Warga,BENAR
 Klarifikasi KBRI dan PPLN Singapura Terkait Isu TKI Harus Membayar 30 Dollar untuk Menggunakan Hak Pilihnya,BENAR
" Penjelasan Lengkap terkait Unggahan yang Bergambar Ridwan Kamil, Yusuf Mansur, dan TGB soal Dugaan Kasus Hukum yang Menimpa Mereka di Media Daring",BENAR
 Klarifikasi KPK Terkait Isu Mengusulkan Penghapusan LHKPN,BENAR
 Gatot Nurmantyo Bantah Isi Pesan Berantai Yang Mencatut Namanya,BENAR
 Klarifikasi Polres Bogor Terkait Pembuatan SIM Tanpa Tes Rp. 150 Ribu di Acara Millenial Road Safety Festival,BENAR
 Ridwan Kamil Bantah Artikel “Ridwan Kamil: Di jawa Barat Kita Akan Mendata Siapa Saja Yang Tidak Mendukung Jokowi!!”,BENAR
 Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,BENAR
 Klarifikasi Terkait Isu Kelangkaan Gas LPG 3 Kg di Bangka Belitung,BENAR
 Berita Terkait Tenaga Kerja Asing Memiliki E-KTP di Cianjur,BENAR
 Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati,BENAR
 Caleg PDIP Minta Maaf atas Viral Senam di Atas Sajadah,BENAR
 Klarifikasi Tokopedia Terkait Isu Kebocoran Data,BENAR
 Penjelasan terkait Pernyataan Prabowo soal Impor Air di Debat Capres,BENAR
 Kemenristek Dikti Bantah Surat Terkait Pengembangan Hybrid,BENAR
 Penjelasan Terkait Informasi Mobil Berstiker Prabowo-Sandi Tidak Boleh Masuk Kebun Raya Bogor,BENAR
 PLN Bantah Informasi Tenggat Pembayaran Listrik Dimajukan Tanggal 5 Setiap Bulannya,BENAR
 KLARIFIKASI PETANI KULONPROGO YANG SEMPROT MATI LAHAN CABAI,BENAR
 “Panen Bawang Berlimpah Ciptakan Krisis di India”,BENAR
 Pembangunan Jembatan Gantung Sikundo,BENAR
 Klarifikasi Ridwan Kamil Terkait Tudingan Bermain Dua Kaki,BENAR
 Penjelasan Terkait Adanya Simbol yang Menyerupai Tulisan Allah di Sepatu Nike Air Max,BENAR
 Penjelasan Terkait Beredarnya Foto Kartu E-Money Prabowo-Sandi,BENAR
 Klarifikasi BKN Terkait Surat Optimalisasi Pemenuhan Kebutuhan PNS oleh BKN,BENAR
" MUNCUL PESAN BERANTAI AKAN TERJADI PERANG SUSULAN AMBON VS LSM MERAH PUTIH, PIHAK KEPOLISIAN NYATAKAN KONDISI LAPANGAN KONDUSIF",BENAR
 Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib,BENAR
 Penjelasan Lengkap Duduk Perkara terkait Video Viral Massa Geruduk Gereja di Sumatera Utara,BENAR
" Gelar Aksi Buang Cabai ke Jalan Karena ‘Termakan’ Hoax Cabai Impor, Petani Demak Minta Ma’af.",BENAR
 Cek Fakta Pidato Kebangsaan Prabowo Subianto,BENAR
 Penjelasan Para Elit Garbi Terkait Para Peserta Acara Deklarasi Garbi Chapter Bandung yang Memakai Kaos Jokowi-Ma’ruf Amin,BENAR
" VIRAL FOTO TEBING ULUWATU BALI RETAK, PIHAK PENGELOLA BERIKAN KLARIFIKASI",BENAR
 CNN Indonesia: “Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final”,BENAR
" KPK Tidak Melakukan OTT di Pontianak, Kalimantan Barat",BENAR
 BMKG Papua Mengklarifikasi Isu Akan Terjadi Tsunami di Papua,BENAR
 Viking Persib Club Bantah Dukung Pasangan Capres-Cawapres Tertentu,BENAR
 Penjelasan Bupati Nduga Terkait Foto Anaknya sedang Memegang Bendera Bintang Kejora,BENAR
 Klarifikasi TNI-Polri Terhadap Tudingan Melakukan Penyanderaan Rombongan Tim Evakuasi Kemanusiaan dan Pemda Nduga,BENAR
 “BMKG: Alat Pendeteksi Tsunami di Selat Sunda Hilang Sejak 2007”,BENAR
 Kementerian PUPR Memberikan Klarifikasi Terkait Jembatan Layang Rawa Buaya yang Dikatakan Retak,BENAR
" MUNCUL ISU AKAN TERJADI GEMPA DI PALU PADA 28 DESEMBER 2018, BMKG ANGKAT BICARA",BENAR
 Lapan Mengklarifikasi Soal Dentuman Misterius Bukan Dari Suara Ujicoba Roket,BENAR
 BMKG Tidak Bunyikan Sirine Peringatan Dini Tsunami di Banten,BENAR
" NUNGGAK BPJS TAK BISA URUS SIM-STNK, PIHAK TERKAIT BERIKAN KLARIFIKASI",BENAR
" NUNGGAK BPJS TAK BISA URUS SIM-STNK, PIHAK TERKAIT BERIKAN KLARIFIKASI",BENAR
 Klarifikasi Taman Safari Indonesia Terkait Harbonas Sale Tiket Terusan Panda,BENAR
 Klarifikasi Polisi Terkait Tuduhan Melakukan Diskriminasi Pemeriksanaan Kepada Orang Asli Papua (OAP) di Lapangan Terbang/Bandara Kenyam,BENAR
 Penjelasan KPU dan BPN Prabowo-Sandi Terhadap Informasi Iklan KPU yang Tidak Cantumkan Gelar Akademisi Prawbowo-Sandi,BENAR
 Penjelasan Data dan Fakta dari Pernyataan Djarot Saiful Hidayat yang Membandingkan Kinerja Jokowi dengan SBY soal Pembangunan di Sumut,BENAR
 Klarifikasi Kepolisian Terkait Aturan Kendaraan Bermotor yang STNK Mati Selama 2 tahun Menjadi Bodong,BENAR
 Klarifikasi Perpusnas Terkait Undangan “Temu Wicara ISBN Tahun 2018” pada 12 – 13 Desember di Jakarta,BENAR
 Klarifikasi Polri dan KPK Terkait Kabar “Kabareskrim Bongkar Rekening Gendut Ketua KPK”,BENAR
 Gambar Logo PDIP pada Ujian SD di Bogor,BENAR
 Perhutani Mengklarifikasi Penemuan Lahan Pembibitan Ganja di Bogor,BENAR
 Penjelasan Polresta Surabaya dan Ketua Front Mahasiswa Nasional (FMN) Surabaya Terkait Informasi 2 Mahasiswa Non-Papua yang Hilang Pasca Penggerebekan,BENAR
 Indosat Tidak Mengirimkan SMS Berantai Kepada Penggunanya Di Lokasi Reuni Alumni 212,BENAR
 Klarifikasi BPN Prabowo – Sandi tentang Situs ‘KTP Prabowo’,BENAR
 Klarifikasi Ponpes Darul Muwahiddin Atas Penolakan Kedatangan Ma’aruf Amin,BENAR
 Klarifikasi Garuda Indonesia Soal Pesawatnya yang Dikatakan Tergelincir di Bandara Adisucipto,BENAR
 PIHAK KEPOLISIAN KALSEL AMANKAN PENYEBAR HOAKS PEMBUNUHAN LEVIE PRISILIA,BENAR
 Penjelasan Kepala Media Center Prabowo terkait Pidato Prabowo yang Sebut Indonesia Hanya Punya 1 Profesor Fisika,BENAR
" Klarifikasi Polri Terkait Isu Jenderal Tito ke Mekkah, Arab Saudi",BENAR
 Klarifikasi PT KAI Atas Tuduhan Membatalkan Tiket Rombongan Reuni 212,BENAR
 Penjelasan Bawaslu dan KPU terkait Kabar Pasien Pengidap Gangguan Jiwa Boleh Nyoblos dalam Pemilu 2019,BENAR
 Klarifikasi GIGI Mengenai “Band Gigi for Prabowo Sandi”,BENAR
 Pernyataan Pihak Kepolisian Terkait Acara Peringatan 4 tahunan Jemaah Khilafatul Muslimin yang akan Diadakan di Masjid Akbar Kemayoran,BENAR
 Klarifikasi RSUD Tarakan Terkait Kabar Penahanan Bayi Pasien,BENAR
 Klarifikasi Pertamina Perihal Lowongan Kerja RDMP RU V di Balikpapan,BENAR
 Klarifikasi Gubernur DKI Jakarta Terkait Wacana Penghapusan Koridor 1 Transjakarta,BENAR
 BKN Bantah Umumkan Informasi Kebijakan Baru Passing Grade Untuk CPNS Agar Lulus Tes SKD,BENAR
 Pihak Kepolisian Bantah Info Penculikan Kakak Beradik di Sragen kota,BENAR
 Kemenhub Klarifikasi Terkait Isu Pilot Indonesia Banyak Yang Tidak Lulus Ujian Simulator Airbus di Australia,BENAR
 Klarifikasi BPN Prabowo-Sandi Terkait Isu Penunjukkan Hotman Paris Hutapea Sebagai Pengacara Timses,BENAR
 Kepolisian Klarifikasi Terkait Biaya Tilang Baru,BENAR
" Sri Mulyani Beri Klarifikasi Terkait Sajak yang Berisi tentang Keluarga, Kehilangan dan Lion Air JT 610",BENAR
 Kapten Timnas U-23 Hansamu Yama Bantah Dirinya Menjadi Salah Satu Korban Kecelakaan Pesawat Lion Air JT 610,BENAR
 Klarifikasi Dahnil Anzar Terkait ‘E-mail Skenario Coklat1’,BENAR
 Pernyataan Timses Prabowo-Sandiaga Terkait #PrabowoBersamaHTI di Twitter,BENAR
 Kemenkeu Klarifikasi Soal Sri Mulyani Pakai Topi Kalimat Tauhid,BENAR
 Klarifikasi Komisi Hukum MUI Terkait Isu Akan Melaporkan GP Ansor dan Banser Ke Polisi Terkait Kasus Pembakaran Bendera,BENAR
 Tanggapan Gubernur Babel dan Kepala Dinas PUPR Babel terhadap Taman Pemprov yang Mirip Mata Dajjal,BENAR
 “Klarifikasi Gubernur Anies Terkait Dirinya Seolah Dipayungi Presiden Jokowi”,BENAR
 Klarifikasi PT Go-Jek Terkait Isu Adanya Pemutihan Massal Akun Eks Mitra Go-Jek,BENAR
" MUNCUL ISU PENCULIKAN ANAK DI WILAYAH CILODONG DEPOK, PIHAK KEPOLISIAN BERI KLARIFIKASI",BENAR
 Pihak BRI Kalrifikasi Info Terkait Pemblokiran Massal Atm BRI Pada 30 Oktober 2018,BENAR
 “Klarifikasi Kemendagri dan KPU Terkait 31 Juta Data Pemilih yang Disebut Misterius dan Tidak Bisa Dibuka”,BENAR
" Klarifikasi Ainun Baharuddin Terkait Meme yang Bertuliskan “Tusuk ka, kalau amuki enak”",BENAR
 Pernyataan GP Ansor Terkait Banser NU Garut yang Membakar Bendera Tauhid Bertuliskan La ilaha illa Allah Muhammad Rasulullah,BENAR
 Klarifikasi BKN Terkait Adanya Informasi Mengenai Tidak Perlu Ujian Bagi Peserta CPNS yang Lulus Administrasi,BENAR
 Klarifikasi BNPB Terkait Kabar Ada 2 Warga Belanda Korban Gempa Palu,BENAR
" “Klarifikasi Polres Jembrana terkait Penodongan di Dekat SPBU Tuwed, Melaya”",BENAR
 Kementrian Agama Bantah Sertifikat Perizinan Untuk Kelompok Bimbingan Ibadah Haji (KBIH),BENAR
" “Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng”",BENAR
 “Taman Impian Jaya Ancol Bantah Menggratiskan Tiket Masuk Mulai 14 Oktober hingga 6 Bulan Kedepan”,BENAR
 Klarifikasi Kemenpora Terkait Pelatih Asian Games 2018 yang Belum Terima Bonus,BENAR
 Polisi Mengklarifikasi Info Terkait Diberlakukannya Uji Tliang E CCTV Mulai Hari Ini,BENAR
 “BMKG Bantah Informasi Prediksi Kemarau Panjang yang Dikaitkan dengan Pertanyaan Kemunculan Dajjal”,BENAR
 Pernyataan Polri Terhadap Acara Kontes Gay dalam Grand Final Mister dan Miss Gaya Dewata 2018 di Bali,BENAR
 Klarifikasi UGM Terkait Pencabutan Izin Tempat Penyelenggaraan Seminar Kebangsaan: Kepemimpinan Era Milenial,BENAR
 “Cairan dalam Wadah Mainan Anak yang Menyerupai Pisang Tidak Mengandung Narkoba”,BENAR
 Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,BENAR
 KEPOLISIAN ANGKAT BICARA TERKAIT GRUP GAY PELAJAR DI GARUT,BENAR
